Path,True_Label,Predicted_Label
../dataset_labeled/-13.68/2/2024-11-01/05/273648_1730438068587495000.pcd,2_turismo,5_mini bus
../dataset_labeled/-13.68/2/2024-11-01/05/272152_1730437667369260000.pcd,2_turismo,5_mini bus
../dataset_labeled/-13.68/2/2024-11-01/05/285151_1730440517978659000.pcd,2_turismo,5_mini bus
../dataset_labeled/-13.68/2/2024-11-01/05/276158_1730438641735022000.pcd,2_turismo,13_L3H3
../dataset_labeled/-13.68/2/2024-11-01/05/275776_1730438528035751000.pcd,2_turismo,17_camión de trabajo
../dataset_labeled/-13.68/2/2024-11-01/05/279143_1730439285783152000.pcd,2_turismo,17_camión de trabajo
../dataset_labeled/-13.68/2/2024-11-01/05/279921_1730439432882629000.pcd,2_turismo,5_mini bus
../dataset_labeled/-13.68/2/2024-11-01/05/273081_1730437930837910000.pcd,2_turismo,13_L3H3
../dataset_labeled/-13.68/2/2024-11-01/05/285525_1730440587078679000.pcd,2_turismo,4_bus
../dataset_labeled/-13.68/2/2024-11-01/05/277113_1730438806235021000.pcd,2_turismo,3_camión rígido
../dataset_labeled/-13.68/2/2024-11-01/05/278245_1730439105634042000.pcd,2_turismo,5_mini bus
../dataset_labeled/-13.68/2/2024-11-01/05/271614_1730437571434127000.pcd,2_turismo,4_bus
../dataset_labeled/-13.68/2/2024-11-01/05/285166_1730440531078631000.pcd,2_turismo,13_L3H3
../dataset_labeled/-13.68/2/2024-11-01/05/270150_1730437209464372000.pcd,2_turismo,13_L3H3
../dataset_labeled/-13.68/2/2024-11-01/05/283618_1730440155580268000.pcd,2_turismo,5_mini bus
../dataset_labeled/-13.68/2/2024-11-01/05/281012_1730439616132438000.pcd,2_turismo,5_mini bus
../dataset_labeled/-13.68/2/2024-11-01/05/276631_1730438725885115000.pcd,2_turismo,5_mini bus
../dataset_labeled/-13.68/2/2024-11-01/05/284650_1730440405029251000.pcd,2_turismo,13_L3H3
../dataset_labeled/-13.68/2/2024-11-01/05/270155_1730437209964579000.pcd,2_turismo,5_mini bus
../dataset_labeled/-13.68/2/2024-11-01/05/277881_1730438973134422000.pcd,2_turismo,4_bus
../dataset_labeled/-13.68/2/2024-11-01/05/284128_1730440254030145000.pcd,2_turismo,5_mini bus
../dataset_labeled/-13.68/2/2024-11-01/05/282157_1730439816731204000.pcd,2_turismo,13_L3H3
../dataset_labeled/-13.68/2/2024-11-01/05/279901_1730439430682518000.pcd,2_turismo,5_mini bus
../dataset_labeled/-13.68/2/2024-11-01/05/284050_1730440224880231000.pcd,2_turismo,13_L3H3
../dataset_labeled/-13.68/2/2024-11-01/05/280753_1730439575532316000.pcd,2_turismo,5_mini bus
../dataset_labeled/-13.68/2/2024-11-01/05/276521_1730438696785442000.pcd,2_turismo,4_bus
../dataset_labeled/-13.68/2/2024-11-01/05/273699_1730438071787593000.pcd,2_turismo,4_bus
../dataset_labeled/-13.68/2/2024-11-01/05/284546_1730440390629398000.pcd,2_turismo,5_mini bus
../dataset_labeled/-13.68/2/2024-11-01/08/333016_1730450312911606000.pcd,2_turismo,5_mini bus
../dataset_labeled/-13.68/2/2024-11-01/08/335954_1730450796759758000.pcd,2_turismo,3_camión rígido
../dataset_labeled/-13.68/2/2024-11-01/08/336515_1730450881859051000.pcd,2_turismo,5_mini bus
../dataset_labeled/-13.68/2/2024-11-01/08/330058_1730449859163799000.pcd,2_turismo,18_asistencia de carretera
../dataset_labeled/-13.68/2/2024-11-01/08/319698_1730448040792930000.pcd,2_turismo,5_mini bus
../dataset_labeled/-13.68/2/2024-11-01/08/339328_1730451294306860000.pcd,2_turismo,3_camión rígido
../dataset_labeled/-13.68/2/2024-11-01/08/323078_1730448729216870000.pcd,2_turismo,4_bus
../dataset_labeled/-13.68/2/2024-11-01/08/328965_1730449688214559000.pcd,2_turismo,3_camión rígido
../dataset_labeled/-13.68/2/2024-11-01/08/336839_1730450947108735000.pcd,2_turismo,4_bus
../dataset_labeled/-13.68/2/2024-11-01/08/330097_1730449862713999000.pcd,2_turismo,5_mini bus
../dataset_labeled/-13.68/2/2024-11-01/08/323815_1730448864272812000.pcd,2_turismo,5_mini bus
../dataset_labeled/-13.68/2/2024-11-01/08/334933_1730450628610030000.pcd,2_turismo,5_mini bus
