path,original_label,split
../dataset_labeled/-13.68/2/2024-10-31/21/221974_1730410015684572000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/225983_1730411124780673000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/222662_1730410158034052000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/224072_1730410524832932000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/226135_1730411165680796000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/218383_1730409227957291000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/227754_1730411602379436000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/217962_1730409164977299000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/215454_1730408576956402000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/220894_1730409793884252000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/222897_1730410251533762000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/218781_1730409330373366000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/227945_1730411654379027000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/228788_1730411872728595000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/221052_1730409825985381000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/218953_1730409351625220000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/215358_1730408518756324000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/217896_1730409152524623000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/225270_1730410934580158000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/225791_1730411060831324000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/223333_1730410340633407000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/215338_1730408513606415000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/219337_1730409421529673000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/227580_1730411561979531000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/224753_1730410764181995000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/219077_1730409376677351000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/228077_1730411688929659000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/225079_1730410878481872000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/226791_1730411364280164000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/226940_1730411389429862000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/221236_1730409853685717000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/217796_1730409124469919000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/225222_1730410930931516000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/225421_1730410961331555000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/228981_1730411908978453000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/226765_1730411355529688000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/225125_1730410883231709000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/219982_1730409581344889000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/227761_1730411603579423000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/219489_1730409455183134000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/225454_1730410968330369000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/224567_1730410729732419000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/220586_1730409745035457000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/221370_1730409889684892000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/220989_1730409809935452000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/218064_1730409177131882000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/218399_1730409229908226000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/224580_1730410730982429000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/215713_1730408642006174000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/220066_1730409598995122000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/225762_1730411055331128000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/215486_1730408593155948000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/228711_1730411838178534000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/227712_1730411591329566000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/226060_1730411142531031000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/227128_1730411413780147000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/221900_1730410005934867000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/228605_1730411784779057000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/225951_1730411116180882000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/224798_1730410770282066000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/218544_1730409276821563000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/228523_1730411772178930000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/217583_1730409091313903000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/216599_1730408852155307000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/226165_1730411182080911000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/215096_1730408464106373000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/222176_1730410037384651000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/227370_1730411474879694000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/216665_1730408862305161000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/224692_1730410753131981000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/226798_1730411365130144000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/224484_1730410705432161000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/222675_1730410195434021000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/227910_1730411650779134000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/217369_1730409040005029000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/226036_1730411135731004000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/225281_1730410935081795000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/224359_1730410663932530000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/222246_1730410064584904000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/227070_1730411406129916000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/216612_1730408854105302000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/220128_1730409612594099000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/216176_1730408740505477000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/228907_1730411882178516000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/218993_1730409356075573000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/216557_1730408841605520000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/216747_1730408899005152000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/218529_1730409275220158000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/215679_1730408634506341000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/225974_1730411121130793000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/228090_1730411691379177000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/219218_1730409400028370000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/218682_1730409307922369000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/220978_1730409808185412000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/222301_1730410095534537000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/217327_1730409027254789000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/220210_1730409622145716000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/227430_1730411502580220000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/219707_1730409499537558000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/226746_1730411350429918000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/221316_1730409874785053000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/227644_1730411574829303000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/227807_1730411637779417000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/222423_1730410109034206000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/220079_1730409600145034000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/226317_1730411202480822000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/219602_1730409475585048000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/226553_1730411267030293000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/224142_1730410541882890000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/220943_1730409799535376000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/218622_1730409280171489000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/227698_1730411586979492000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/222612_1730410149734210000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/225367_1730410947081397000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/225855_1730411077831077000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/226254_1730411191680858000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/227827_1730411640479259000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/228725_1730411842478418000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/223518_1730410382533629000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/223207_1730410324133778000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/219897_1730409557893745000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/217343_1730409030804739000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/227796_1730411618329125000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/224650_1730410745132162000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/222199_1730410043684760000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/217486_1730409067959735000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/228056_1730411668327987000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/227096_1730411408379944000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/227466_1730411525979529000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/218090_1730409180583535000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/218301_1730409213650034000.pcd,2,knowledge
../dataset_labeled/-13.68/2/2024-10-31/21/218460_1730409261521743000.pcd,2,knowledge
